GetLow,Drama,Mystery
NoStringsAttached,Comedy,Romance
HillsHaveEyesThe,Horror,Thriller
IRobot,Action,Sci-Fi,Thriller
SurferKingThe,Comedy
ShesOutofMyLeague,Comedy,Romance
PineappleExpress,Comedy,Crime,Thriller
HangoverThe,Comedy,Crime,Mystery,Thriller
HisGirlFriday,Comedy,Romance,Drama
GetCarter,Thriller,Action,Crime,Drama
DuckSoup,Comedy,Family,Musical
FreddyvsJason,Action,Fantasy,Horror,Thriller
Ghost,Romance,Thriller,Drama,Fantasy
StarWarsANewHope,Action,Adventure,Fantasy,Sci-Fi
MaxPayne,Action,Crime,Drama,Thriller
AnalyzeThat,Comedy,Crime
Frances,Drama
Ninotchka,Comedy,Romance
TimberFalls,Horror,Thriller
DeathataFuneral,Comedy
DropDeadGorgeous,Comedy
NottingHill,Comedy,Romance,Drama
Deception,Crime,Drama,Mystery,Romance,Thriller
IslandThe,Action,Drama,Sci-Fi,Thriller
Oblivion,Action,Adventure,Sci-Fi
BloodSimple,Drama,Thriller
MeetJohnDoe,Comedy,Drama
Cube,Thriller,Sci-Fi,Horror,Mystery
LoveandBasketball,Drama,Romance
BlueValentine,Drama,Romance
Kalifornia,Crime,Thriller
AmityvilleAsylumThe,Horror
Aladdin,Animation,Family,Musical,Fantasy,Comedy
Airplane,Comedy,Romance
DeerHunterThe,Drama,War
TimeMachineThe,Action,Adventure,Sci-Fi
Rushmore,Comedy,Romance
Highlander,Action,Fantasy
TinCup,Comedy,Drama,Romance
OBrotherWhereArtThou,Adventure,Comedy,Crime
Fracture,Crime,Drama,Thriller
Surrogates,Action,Sci-Fi,Thriller
StarTrekIITheWrathofKhan,Action,Adventure,Sci-Fi
Limitless,Mystery,Sci-Fi,Thriller
Lincoln,Drama,History
MulhollandDrive,Drama,Horror,Mystery,Romance,Thriller
BurnAfterReading,Comedy,Crime
PlatinumBlonde,Comedy,Romance
NurseBetty,Comedy,Thriller
Kate&Leopold,Romance,Fantasy,Comedy
PiratesoftheCaribbean,Action,Adventure,Comedy
Alien3,Action,Drama,Horror,Sci-Fi,Thriller
AmericanWerewolfinLondon,Comedy,Horror,Romance
Kafka,Drama
